ISIN,symbol
LU2488121687,BGFSGD2
LU0969580306,BGEFA2U
LU0229084990,MI9R
LU0204061864,BGEUA4G
LU0827879338,BGEVD2G
LU1861217914,BGFHD2G
LU1861217161,BGFFTD2
LU0737136415,BGFID5U
LU1129992308,BGFII5E
LU0999670564,BGFGI2G
LU1852330908,BGAAD4G
LU1978683255,BGBA6GH
LU1814255474,BGCD5GH
LU2533723461,BGGRAMA
LU2386952878,BGBIIUA
LU0236176334,MLJVADS
LU0204063480,MJOPADS
LU0827883876,BLAD2GB
LU2527845866,S2USDLX
LU2527846088,S2EURAS
LU0612325679,BGWRDEU
LU1864666323,BGND2EH
LU2605896872,BGNGS2G
LU2605897094,BGWRS2G
LU2604840871,BGCETX2
LU0827886200,BUBVD2G
LU0764821012,BGUHI3U
LU0329591720,MIGHGD2
LU2641782318,BGFUSFX
LU2629201513,BGWENI5
LU0368236583,BGWMEI2
LU0368260294,BWM3
LU2527846245,I2GBPLX
LU2087589268,BLGBIXU
LU0916238545,BGIEAN7
LU1811365375,BGIED2E
LU0836515550,BGIEEF2
LU0836515634,BGIJEF2
LU1513020419,BSAPA2G
LU1495982438,BSAPD2U
LU2615938151,BSAPAD2
LU1495982511,BSPD2EH
LU1417814057,BSAPD2G
LU1417814560,BSAPZ2C
LU1417814487,BSAPZ2E
LU2634581255,BSAZ2GH
LU2634581172,BSAZ2GB
LU1715605942,BSEMZ2G
LU0946833604,BREXUX2
LU1586024074,BSAPZ2G
LU1508158356,BSAZ2US
LU0725892383,BSADD2E
LU1653088168,BSADI2U
LU0802637750,BLEUD2R
LU2213651438,BLEARDU
LU2641749960,BLAERI2
LU0776931064,BLEAI2E
LU0414666189,BLEURD2
LU0827973438,BRED4RF
LU0438336264,XMHW
LU2465781768,BLFISSE
LU1861218136,BRUED2G
LU1861219613,BRUD2UH
LU1990957067,BRUKA2G
LU2353382893,BLSARXU
LU2353382547,BLSARIG
LU2353382976,BLSARZU
LU2353382463,BLSARIE
LU2353382620,BHSARI2
LU2353382380,BLSARIU
LU2353382208,BLSARDU
LU2575169110,BLSARI2
LU2575169037,BLSARD2
LU1282798062,BSMMD4U
LU1456638573,BRATI3U
LU1196525700,BGATI5E
LU2600820356,BGBGD2E
LU2600820273,BGFTGD2
LU2600820604,BGFGRI2
LU2600820786,BGFMTI2
LU2600820943,BGBGZ2E
LU2723611005,BGFBRGZ
LU2600821081,BGBTGZ2
LU2298379152,BGBCBAS
LU0679941673,BGRBA3U
LU0669554353,BGCED4R
LU0827876409,BCED4GH
LU2319960444,BGCEFSU
LU2864352203,BGCEI4G
LU1919856051,BGEMA8C
LU2719174570,BGEUA4D
LU2719174810,BGFEUDG
LU2719175114,BGEUD4G
LU2719175627,BGEUX4A
LU2657676305,BGFEMIC
LU2657676214,BGFMKIG
LU0995345831,BELCD3G
LU2779021257,BGEMSI2
LU0204061948,BGEMA4G
LU1706558266,BGEMS2E
LU2864352385,BGFERI4
LU0411709727,BGEOUD2
LU2360107598,BGBFI4U
LU1919856135,BGHA8CH
LU2697545676,BGFLSA2
LU2741325588,BGFLSD2
LU2790878016,BGFLTI2
LU2741325661,BGFLSI2
LU2741325745,BGFLSX2
LU2748853863,BGFLSZ2
LU1877504073,BGMX5GH
LU0497860428,BGJVX2J
LU1861216437,BGFNGZ2
LU2360106947,BGBNAU4
LU2725777499,BGEMZI2
LU1978683685,BGBA8CH
LU0757589873,BGWX2SH
LU1276852404,BGSWD3C
LU2798994583,BGSYUIG
LU1919856218,BGUA8CH
LU2810381256,BGUHYSR
LU0154237142,MFLEXX2
LU2714841868,BGUMAEU
LU2011139206,BGFGI2U
LU2677621554,BGFI2EH
LU2714841512,BGUMSRE
LU2714841439,VGUMTGS
LU2714841603,BGUTMSR
LU2714841785,BGUGMSR
LU2714841355,BGUMSRU
LU2527846328,I4GBPLX
LU0743604679,
GB0009383836,
LU0526377089,
LU1681057110,
LU1834329317,
LU1933810498,
LU1933810654,
LU1681056906,
LU1681057037,
LU0811112787,
LU0852073260,
LU1379100800,
LU0204061609,
LU1817795518,
LU1817794974,
LU1817796086,
LU1817794388,
LU1688375853,
LU1688375424,
LU2382308885,
LU2382308612,
LU2382308455,
LU2382308026,
LU1834329234,
LU2331123641,
IE00B3VWN179,CBU3,CU31
IE00B3VWN393,CBU7,CU71
IE00BMWB9633,I37MX
IE00B3VWN518,CBU0
IE00B53L3W79,CS51,CSX5,ISX5
IE00B53HP851,CUKX
IE00B53QG562,CEU1,IEMU
IE00BKBF6616,CEUU
IE00BL3J3H81,0A3E
IE00B52MJY50,CPJ1,CPXJ
